NTRDBT,JOINT,ORGD1FPRSE,PRFILE,SUCCESS,DISTSUCCESS,FEEP,FEEI,FEEW,REALPROPNULL,REALPROPNONE,REALPROPVALUE,REALPROPVALUESQR,REALPROPVALUELOG,PERSPROPNULL,PERSPROPVALUE,PERSPROPVALUESQR,PERSPROPVALUELOG,UNSECNPRNULL,UNSECNPRVALUE,UNSECNPRVALUESQR,UNSECNPRVALUELOG,UNSECEXCESS,UNSECPRNULL,UNSECPRVALUE,UNSECPRVALUESQR,UNSECPRVALUELOG,AVGMNTHINULL,AVGMNTHIVALUE,AVGMNTHIVALUESQR,AVGMNTHIVALUELOG,IEINDEX,IEGAP
0,0,0,1,1,0.4523,0,1,0,0,0,83800,7022440000,11.3362,0,13429,180338041,9.5052,0,0,0,0,0,0,0,0,0,0,1846,3407716,7.5208,1.0695,120
0,0,0,0,0,0.4739,0,0,0,0,0,55000,3025000000,10.9151,0,55800,3113640000,10.9295,0,7533.61,56755279.63,8.9271,0,0,0,0,0,0,4748.19,22545308.28,8.4655,1.9107,2263.19
0,1,0,1,1,0.6414,0,0,0,0,0,126000,15876000000,11.744,0,41711.93,1739885104,10.6385,0,45994.53,2115496790,10.7363,0,0,4745.83,22522902.39,8.465,0,6147.14,37787330.18,8.7237,1.1539,820.03
0,1,0,0,0,0.6414,0,0,0,0,0,120000,14400000000,11.6952,0,7165,51337225,8.877,0,4296,18455616,8.3654,0,0,28278,799645284,10.2498,0,4057,16459249,8.3082,1.1722,596
0,0,0,0,0,0.3525,0,1,0,0,1,0,0,0,0,20200,408040000,9.9134,0,4679,21893041,8.4508,0,0,3000,9000000,8.0064,0,1759,3094081,7.4725,1.5511,625
0,0,1,0,0,0.1635,0,1,0,1,0,140000,19600000000,11.8494,1,17889,320016321,9.7919,1,29784,887086656,10.3017,0,1,0,0,0,1,3301,10896601,8.102,1,0
0,1,0,0,0,0.1943,0,0,0,0,0,430000,1.849E+11,12.9715,0,5480,30030400,8.6089,0,12799,163814401,9.4571,0,0,0,0,0,0,6222.98,38725480.08,8.736,1.3704,1681.98
0,0,0,1,0,0.6231,0,1,0,0,1,0,0,0,0,18630.22,347085097.2,9.8325,0,17916,320983056,9.7934,0,0,996,992016,6.9037,0,2026,4104676,7.6138,1.319,490
0,0,0,1,1,0.5883,0,1,0,0,1,0,0,0,0,20502,420332004,9.9283,0,4307,18550249,8.368,0,0,0,0,0,0,2183.1,4765925.61,7.6885,1.3002,504.1
0,0,0,0,0,0.5742,0,0,0,0,0,305000,93025000000,12.6281,0,12206.03,148987168.4,9.4097,0,44256.26,1958616549,10.6978,0,0,5087.76,25885301.82,8.5346,0,1607,2582449,7.3821,0.9935,-10.5
