SNAPSHOT,SNAPFILE,SNAPPEND,SNAPCLOS,CASEKEY,CIRCUIT,DISTRICT,OFFICE,DOCKET,GEN,SEQ,ORIGIN,ORGFLDT,FILEDATE,FILECY,FILEFY,ORGFLCHP,CRNTCHP,ORGNTRDBT,NTRDBT,JOINT,D1ZIP,D1CNTY,ORGD1FPRSE,D1FPRSE,D1CHGDT,D2ZIP,D2CNTY,ORGD2FPRSE,D2FPRSE,D2CHGDT,ORGFEESTS,FEESTS,CASETYP,ORGDBTRTYP,DBTRTYP,NOB,PRFILE,ORGEASST,EASST,ORGELBLTS,ELBLTS,ORGECRDTRS,ECRDTRS,ORGASSTCASE,ASSTCASE,SMLLBUS,PREPACK,TOTASSTS,REALPROP,PERSPROP,TOTLBLTS,SECURED,UNSECPR,UNSECNPR,DSCHRGD,NDSCHRGD,TOTDBT,CNTMNTHI,AVGMNTHI,AVGMNTHE,SRCCASE,DSTNCASE,CNSLLEAD,JNTLEAD,FLCMECFV,CLOSEDT,CLOSECY,CLOSEFY,CLCHPT,D1CPRSE,D1FDSP,D1FDSPDT,D1FDSPCY,D1FDSPFY,D2CPRSE,D2FDSP,D2FDSPDT,D2FDSPCY,D2FDSPFY,C11DVDND,C11FTRPAY,CLCMECFV,TAXEXEMPT
9/30/2014,0,0,1,BK07564099284600,7,56,4,992846,0,0,,8/13/2009,8/13/2009,2009,2009,13,13,c,c,n,402110000,18043,n,n,,,,,,,i,c,v,i,i,,n,A,A,A,A,A,A,y,y,,,1225,0,1225,23556.2,0,2554.2,21002,21002,2554.2,23556.2,2785.71,1715,1525,,,,,3.3.1,10/17/2013,2013,2014,13,n,A,10/2/2013,2013,2014,,,,,,,,5.1.0,N
9/30/2010,0,1,0,BK113E1088506900,11,3E,1,885069,0,0,,12/5/2008,12/5/2008,2008,2009,13,13,c,c,n,302480000,13151,n,n,12/5/2008,,,,,,i,c,v,i,i,,y,A,A,A,A,A,A,y,y,,,24715,0,24715,36196,34492,0,1704,36196,0,36196,4429,3825,2979,,,,,3.3.1,,,,,,,,,,,,,,,,,,N
9/30/2010,0,1,0,BK07532089214900,7,53,2,892149,0,0,,,12/15/2008,2008,2009,13,13,c,c,y,619510000,17139,n,n,,619510000,17139,n,n,,p,p,v,i,i,,y,B,B,C,C,A,A,y,y,,,91924,63000,28924,127579.17,81260.29,0,46318.88,127579.17,0,127579.17,4642.06,3514.86,3501.23,,,,,0.0.0,,,,,,,,,,,,,,,,,,N
9/30/2011,0,0,1,BK09812081033800,9,81,2,810338,0,0,,1/24/2008,1/24/2008,2008,2008,13,13,c,c,y,980230000,53033,n,n,1/24/2008,980230000,53033,n,n,1/24/2008,i,c,v,i,i,,n,C,C,C,C,A,A,y,y,,,330078,309000,21078,300748.22,247605,0,53143.22,300748.22,0,300748.22,8348,6329,2883,,,,,3.3.3,5/10/2011,2011,2011,13,n,A,5/10/2011,2011,2011,n,A,5/10/2011,2011,2011,,,4.1.0,N
9/30/2009,1,1,0,BK09721091529400,9,72,1,915294,0,0,,6/8/2009,6/8/2009,2009,2009,13,13,c,c,y,937060000,6019,n,n,,937060000,6019,n,n,,p,p,v,i,i,,n,C,C,C,C,A,A,y,y,,,145670,125500,20170,215288,142217,0,73071,215288,0,215288,3933,2926,1468,,,,,3.3.1,,,,,,,,,,,,,,,,,,N
9/30/2014,0,0,1,BK04178090184100,4,17,8,901841,0,0,,3/9/2009,3/9/2009,2009,2009,13,13,c,c,y,278560000,37127,n,n,,278560000,37127,n,n,,p,p,v,i,i,,n,C,C,C,C,A,A,y,y,,,102210,85000,17210,123035,66053,0,56982,123035,0,123035,3121,2574,2356,,,,,5.1.0,10/16/2013,2013,2014,13,n,A,6/26/2013,2013,2013,n,A,6/26/2013,2013,2013,,,5.1.0,N
9/30/2009,0,1,0,BK06481081376100,6,48,1,813761,0,0,,,7/11/2008,2008,2008,13,13,c,c,y,451540000,39015,n,n,7/11/2008,451540000,39015,n,n,7/11/2008,p,p,v,i,i,,n,C,C,C,C,A,A,y,y,,,133835,110000,23835,142639.67,123495,0,19144.67,142639.67,0,142639.67,6240.49,4120,3445,,,,,0.0.0,,,,,,,,,,,,,,,,,,N
9/30/2010,0,1,0,BK03122093046900,3,12,2,930469,0,0,,8/5/2009,8/5/2009,2009,2009,13,13,c,c,y,78710000,34037,n,n,,78710000,34037,n,n,,p,p,v,i,i,,n,C,C,C,C,A,A,y,y,,,368410,330000,38410,485477.07,397198,0,88279.07,485477.07,0,485477.07,8773,6448,6143.23,,,,,3.3.2,,,,,,,,,,,,,,,,,,N
9/30/2010,0,1,0,BK11262090443100,11,26,2,904431,0,0,,7/28/2009,7/28/2009,2009,2009,13,13,c,c,n,350510000,1117,n,n,,,,,,,i,p,v,i,i,,n,A,A,A,A,A,A,y,y,,,1020,0,1020,39464.12,0,0,39464.12,39464.12,0,39464.12,2852,3029,2819,,,,,3.3.3,,,,,,,,,,,,,,,,,,N
9/30/2014,0,1,0,BK053L2091206200,5,3L,2,912062,0,0,,7/11/2009,7/11/2009,2009,2009,13,13,c,c,y,700680000,22095,n,n,,700680000,22095,n,n,,p,p,v,i,i,,n,C,C,C,C,A,A,y,y,,,184635,152000,32635,195831,168686,3374,23771,195831,0,195831,5842.5,4649.66,4120,,,,,3.3.1,,,,,,,,,,,,,,,,,,N
9/30/2009,0,1,0,BK08604071624800,8,60,4,716248,0,0,,,11/8/2007,2007,2008,13,13,c,c,n,720320000,5045,n,n,,,,,,,c,c,v,i,i,,n,B,B,C,C,A,A,y,y,,,96423.59,92000,4423.59,131911.54,91169.59,0,40741.95,131911.54,0,131911.54,3549.17,2346,2171,,,,,0.0.0,,,,,,,,,,,,,,,,,,N
9/30/2013,0,0,1,BK06452085829000,6,45,2,858290,0,0,,7/30/2008,7/30/2008,2008,2008,13,13,c,c,y,483710000,26125,n,n,7/30/2008,483710000,26125,n,n,,p,p,v,i,i,,n,B,B,B,B,A,A,y,y,,,54375,0,54375,89138.71,53434.67,0,35704.04,89138.71,0,89138.71,4158.43,3065,2405,,,,,4.3.0,1/8/2013,2013,2013,13,n,A,11/5/2012,2012,2013,n,A,11/5/2012,2012,2013,,,4.3.0,N
9/30/2011,0,1,0,BK05381095017400,5,38,1,950174,0,0,,2/2/2009,2/2/2009,2009,2009,13,13,c,c,n,394810000,28061,n,n,2/2/2009,,,,,,p,p,v,i,i,,n,A,A,A,A,A,A,y,y,,,190652.5,170000,20652.5,136897.21,126315.38,530,10051.83,136367.21,530,136897.21,2083.33,2691,1441,,,,,3.4.0,,,,,,,,,,,,,,,,,,N
9/30/2009,0,1,0,BK113G4084044300,11,3G,4,840443,0,0,,,5/1/2008,2008,2008,13,13,c,c,n,319070000,13215,n,n,5/1/2008,,,,,,p,p,v,i,i,,y,A,A,A,A,A,A,y,y,,,27128,0,27128,48439,18760,6000,23679,42439,6000,48439,4766,2935,2285,,,,,0.0.0,,,,,,,,,,,,,,,,,,N
9/30/2011,0,1,0,BK05425085062200,5,42,5,850622,0,0,,3/3/2008,3/3/2008,2008,2008,13,13,c,c,y,782170000,48029,n,n,3/3/2008,782170000,48029,n,n,3/3/2008,p,p,v,i,i,,n,B,B,C,C,A,A,y,y,,,192781.38,181160,11621.38,251699.18,213084.19,2400,36214.99,251699.18,0,251699.18,4611.46,4941,4139.79,,,,,3.4.0,,,,,,,,,,,,,,,,,,N
9/30/2014,0,0,1,BK08654084842500,8,65,4,848425,0,0,,10/25/2008,10/25/2008,2008,2009,13,13,c,c,n,631380000,29189,n,n,,,,,,,p,p,v,i,i,,n,C,C,C,C,A,A,y,y,,,132065,109200,22865,150237.02,129091.02,0,21146,150237.02,0,150237.02,4090.66,2252.41,1669.14,,,,,5.1.0,1/8/2014,2014,2014,13,n,A,12/23/2013,2013,2014,,,,,,,,5.1.0,N
9/30/2008,1,1,0,BK05363073205200,5,36,3,732052,0,0,,,12/28/2007,2007,2008,13,13,c,c,n,712030000,22073,n,n,12/28/2007,,,,,,i,i,v,i,i,,y,C,C,C,C,A,A,y,y,,,102100,98000,4100,104366,98878,5488,0,98878,5488,104366,1719.05,1406.38,379,,,,,0.0.0,,,,,,,,,,,,,,,,,,N
9/30/2014,0,0,1,BK01043080343700,1,4,3,803437,0,0,,5/30/2008,5/30/2008,2008,2008,13,13,c,c,y,7390000,72041,n,n,5/30/2008,7390000,72041,n,n,5/30/2008,p,p,v,i,i,,n,C,C,C,C,A,A,y,y,,,158226.11,130000,28226.11,137524.75,113316.31,0,24208.44,137524.75,0,137524.75,3447.21,2556.05,2146.05,,,,,5.0.0,10/29/2013,2013,2014,13,n,A,10/29/2013,2013,2014,n,A,10/29/2013,2013,2014,,,5.1.0,N
9/30/2008,1,1,0,BK09732082311900,9,73,2,823119,0,0,,,8/19/2008,2008,2008,13,13,c,c,y,906600000,6037,n,n,8/19/2008,906600000,6037,n,n,,p,p,v,i,i,,n,C,C,C,C,A,A,y,y,,,403820,360000,43820,358504,356092,0,2412,358504,0,358504,6548.86,5285.77,4570.54,,,,,0.0.0,,,,,,,,,,,,,,,,,,N
9/30/2013,0,1,0,BK11281081157000,11,28,1,811570,0,0,,5/2/2008,5/2/2008,2008,2008,13,13,c,c,y,365490000,1003,n,n,5/2/2008,325910000,1053,n,n,5/2/2008,p,p,v,i,i,,n,C,C,C,C,A,A,y,y,,,223558.54,184200,39358.54,424162.56,305782,7960,110420.56,419422.56,4740,424162.56,6811.66,6005.84,5159,,,,,3.3.1,,,,,,,,,,,,,,,,,,N
9/30/2009,1,1,0,BK06493093457400,6,49,3,934574,0,0,,8/24/2009,8/24/2009,2009,2009,13,13,c,c,y,377370000,47009,n,n,,377370000,47009,n,n,,i,i,v,i,i,,n,A,A,A,A,A,A,y,y,,,44780,31100,13680,39844.25,24239.97,3574,12030.28,36270.25,3574,39844.25,2603.2,5036.17,4111,,,,,3.3.1,,,,,,,,,,,,,,,,,,N
9/30/2013,0,1,0,BK10875081204700,10,87,5,812047,0,0,,,5/20/2008,2008,2008,13,13,c,c,y,731080000,40109,n,n,5/20/2008,731080000,40109,n,n,5/20/2008,p,p,v,i,i,,n,C,C,C,C,A,A,y,y,,,164829,112387,52442,196721.88,124028.02,0,72693.86,196721.88,0,196721.88,6429.8,5304.7,3894.23,,,,,0.0.0,,,,,,,,,,,,,,,,,,N
